ZZ ZT RHO THBAR PBAR PIBAR QVBAR Q1 Q2 RHOZ
 ============================================
    0   100 1.140207 301.742370 99628.077599 0.999345 0.022750 0 0 1.140207
  200   300 1.130566 302.007957 97411.342544 0.992847 0.021912 0 0 1.120925
  400   500 1.111162 302.706276 95231.300122 0.986350 0.019359 0 0 1.101400
  600   700 1.091553 303.517030 93089.772581 0.979515 0.017441 0 0 1.081707
  800   900 1.072025 304.320470 90987.348973 0.973781 0.016116 0 0 1.062344
 1000  1100 1.052604 305.205467 88923.102072 0.967288 0.014581 0 0 1.042865
 1200  1300 1.033122 306.179814 86897.066159 0.961014 0.012904 0 0 1.023379
 1400  1500 1.013596 307.203625 84909.370875 0.954250 0.011554 0 0 1.003812
 1600  1700 0.994143 308.398166 82960.133392 0.948042 0.009845 0 0 0.984474
 1800  1900 0.974925 309.448126 81048.873757 0.941750 0.008718 0 0 0.965375
 2000  2100 0.956078 310.403298 79174.356967 0.935312 0.007814 0 0 0.946781
 2200  2300 0.937717 311.295234 77335.334576 0.929296 0.006926 0 0 0.928652
 2400  2500 0.919801 312.146486 75530.696512 0.922980 0.006100 0 0 0.910951
 2600  2700 0.902315 313.031643 73762.643091 0.916804 0.005427 0 0 0.893679
 2800  2900 0.884727 313.923838 72028.078669 0.910310 0.005006 0 0 0.875775
 3000  3100 0.867455 314.786171 70326.081498 0.904685 0.005031 0 0 0.859134
 3200  3300 0.850569 315.554859 68659.145087 0.898201 0.004915 0 0 0.842003
 3400  3500 0.834051 316.285291 67023.534287 0.891839 0.004773 0 0 0.826098
 3600  3700 0.817866 316.992270 65418.974340 0.885594 0.004679 0 0 0.809634
 3800  3900 0.801899 317.762633 63846.758061 0.879466 0.004357 0 0 0.794164
 4000  4100 0.786183 318.566829 62303.608878 0.873437 0.003970 0 0 0.778203
 4200  4300 0.770747 319.412084 60792.794995 0.867517 0.003641 0 0 0.763292
 4400  4500 0.755590 320.277292 59310.478649 0.861687 0.003306 0 0 0.747889
 4600  4700 0.740503 321.162122 57858.886705 0.854952 0.002971 0 0 0.733117
 4800  4900 0.725687 322.061862 56436.402857 0.849303 0.002730 0 0 0.718258
 5000  5100 0.710797 322.970097 55041.492351 0.842734 0.002525 0 0 0.703336
 5200  5300 0.696265 323.863452 53677.504189 0.837253 0.002261 0 0 0.689195
 5400  5500 0.682150 324.745623 52339.393674 0.831052 0.001987 0 0 0.675105
 5600  5700 0.668372 325.585581 51028.710388 0.825381 0.001700 0 0 0.661639
 5800  5900 0.654623 326.417038 49746.211038 0.819243 0.001431 0 0 0.647606
 6000  6100 0.641108 327.235030 48488.499054 0.813305 0.001237 0 0 0.634610
